cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","85 years and over",13166,"(+/- 1595 )",16625,"(+/- 1731 )",13131,"(+/- 1506 )",13757,"(+/- 1815 )",17248,"(+/- 1997 )",14645,"(+/- 1653 )",12427,"(+/- 2208 )",14352,"(+/- 1700 )",12550,"(+/- 1626 )"
People,"Sex and Age","Median age (years)",39.9,"(+/- 0.4 )",38.2,"(+/- 0.5 )",37.4,"(+/- 0.4 )",36.7,"(+/- 0.4 )",38.3,"(+/- 0.5 )",40.5,"(+/- 0.4 )",33.9,"(+/- 0.4 )",40.3,"(+/- 0.5 )",38.4,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",555396,"(+/- 2127 )",547015,"(+/- 2941 )",562485,"(+/- 2615 )",594810,"(+/- 3490 )",602404,"(+/- 6909 )",563725,"(+/- 3104 )",578953,"(+/- 6402 )",557791,"(+/- 2602 )",602219,"(+/- 3776 )"
People,"Sex and Age","65 years and over",121883,"(+/- 1336 )",121248,"(+/- 1993 )",119970,"(+/- 1227 )",120149,"(+/- 2272 )",121322,"(+/- 2963 )",129507,"(+/- 1862 )",95364,"(+/- 2549 )",129058,"(+/- 1677 )",125971,"(+/- 2165 )"
People,Race,"Total population",719122,"(+/- 2604 )",721469,"(+/- 4005 )",753051,"(+/- 2879 )",767105,"(+/- 4649 )",791257,"(+/- 9448 )",720190,"(+/- 3498 )",777205,"(+/- 8696 )",716924,"(+/- 2603 )",765896,"(+/- 4319 )"
People,Race,"One race",699809,"(+/- 3986 )",699974,"(+/- 5390 )",732176,"(+/- 4129 )",749600,"(+/- 5676 )",773440,"(+/- 8948 )",702996,"(+/- 4306 )",749653,"(+/- 9175 )",702114,"(+/- 2882 )",748174,"(+/- 5061 )"
People,Race,White,511065,"(+/- 6005 )",611348,"(+/- 6625 )",650682,"(+/- 4846 )",667122,"(+/- 5720 )",666915,"(+/- 8410 )",666820,"(+/- 5464 )",449793,"(+/- 9739 )",653565,"(+/- 3500 )",694589,"(+/- 5279 )"
People,Race,"Black or African American",132758,"(+/- 2437 )",51065,"(+/- 4077 )",45663,"(+/- 2573 )",35576,"(+/- 2849 )",68345,"(+/- 6575 )",14879,"(+/- 1952 )",238968,"(+/- 7091 )",32611,"(+/- 3265 )",23240,"(+/- 2207 )"
People,Race,"American Indian and Alaska Native",2379,"(+/- 682 )",2393,"(+/- 860 )",2965,"(+/- 1586 )",1731,"(+/- 903 )",1736,"(+/- 977 )",2059,"(+/- 1193 )",2646,"(+/- 1490 )",1031,"(+/- 637 )",1476,"(+/- 972 )"
People,Race,Asian,11002,"(+/- 1020 )",10786,"(+/- 1208 )",20029,"(+/- 1515 )",25022,"(+/- 1526 )",30243,"(+/- 1848 )",11951,"(+/- 875 )",32615,"(+/- 2446 )",7923,"(+/- 1489 )",20995,"(+/- 2312 )"
People,Race,"Native Hawaiian and Other Pacific Islander",377,"(+/- 269 )",377,"(+/- 337 )",368,"(+/- 274 )",262,"(+/- 346 )",0,"(+/- 201 )",88,"(+/- 210 )",96,"(+/- 162 )",1417,"(+/- 1783 )",269,"(+/- 303 )"
People,Race,"Some other race",42228,"(+/- 5896 )",24005,"(+/- 4911 )",12469,"(+/- 2681 )",19887,"(+/- 3453 )",6201,"(+/- 2046 )",7199,"(+/- 3163 )",25535,"(+/- 5580 )",5567,"(+/- 1494 )",7605,"(+/- 2734 )"
People,Race,"Two or more races",19313,"(+/- 3301 )",21495,"(+/- 4536 )",20875,"(+/- 3139 )",17505,"(+/- 3281 )",17817,"(+/- 3040 )",17194,"(+/- 2332 )",27552,"(+/- 4191 )",14810,"(+/- 2004 )",17722,"(+/- 3088 )"
People,"Hispanic or Latino and Race","Total population",719122,"(+/- 2604 )",721469,"(+/- 4005 )",753051,"(+/- 2879 )",767105,"(+/- 4649 )",791257,"(+/- 9448 )",720190,"(+/- 3498 )",777205,"(+/- 8696 )",716924,"(+/- 2603 )",765896,"(+/- 4319 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",117031,"(+/- 1237 )",73664,"(+/- 1468 )",47737,"(+/- 1021 )",48052,"(+/- 1354 )",40290,"(+/- 5736 )",22259,"(+/- 1033 )",89477,"(+/- 5503 )",19613,"(+/- 1502 )",27431,"(+/- 1393 )"
People,"Hispanic or Latino and Race",Mexican,88742,"(+/- 3879 )",53725,"(+/- 5617 )",37868,"(+/- 2530 )",31808,"(+/- 3368 )",22527,"(+/- 4689 )",16100,"(+/- 2515 )",62689,"(+/- 7209 )",9394,"(+/- 1561 )",16922,"(+/- 3458 )"
People,"Hispanic or Latino and Race","Puerto Rican",20414,"(+/- 3958 )",3751,"(+/- 1752 )",2995,"(+/- 1117 )",2332,"(+/- 1539 )",3465,"(+/- 1844 )",3470,"(+/- 1685 )",6176,"(+/- 2831 )",1730,"(+/- 870 )",5313,"(+/- 2491 )"
People,"Hispanic or Latino and Race",Cuban,541,"(+/- 432 )",2097,"(+/- 2148 )",685,"(+/- 467 )",686,"(+/- 524 )",590,"(+/- 439 )",447,"(+/- 400 )",1169,"(+/- 974 )",960,"(+/- 809 )",447,"(+/- 327 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7334,"(+/- 1813 )",14091,"(+/- 4427 )",6189,"(+/- 2070 )",13226,"(+/- 3254 )",13708,"(+/- 4344 )",2242,"(+/- 1127 )",19443,"(+/- 5142 )",7529,"(+/- 1669 )",4749,"(+/- 1633 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",602091,"(+/- 2686 )",647805,"(+/- 4140 )",705314,"(+/- 3195 )",719053,"(+/- 4471 )",750967,"(+/- 8772 )",697931,"(+/- 3645 )",687728,"(+/- 7742 )",697311,"(+/- 2697 )",738465,"(+/- 4473 )"
People,"Place of Birth","Total population",719122,"(+/- 2604 )",721469,"(+/- 4005 )",753051,"(+/- 2879 )",767105,"(+/- 4649 )",791257,"(+/- 9448 )",720190,"(+/- 3498 )",777205,"(+/- 8696 )",716924,"(+/- 2603 )",765896,"(+/- 4319 )"
People,"Place of Birth",Native,679725,"(+/- 4874 )",678899,"(+/- 5632 )",714930,"(+/- 3616 )",722303,"(+/- 5848 )",744852,"(+/- 10137 )",701405,"(+/- 4234 )",698418,"(+/- 10185 )",697604,"(+/- 3430 )",735485,"(+/- 5859 )"
People,"Place of Birth","Born in United States",672118,"(+/- 4967 )",672427,"(+/- 5771 )",710656,"(+/- 3631 )",717705,"(+/- 6062 )",736357,"(+/- 10322 )",697550,"(+/- 4553 )",691639,"(+/- 10165 )",695018,"(+/- 3576 )",729380,"(+/- 5728 )"
People,"Place of Birth","State of residence",420858,"(+/- 10588 )",499320,"(+/- 8449 )",539287,"(+/- 7699 )",537412,"(+/- 8759 )",506882,"(+/- 10825 )",509695,"(+/- 9183 )",515999,"(+/- 10617 )",541173,"(+/- 6707 )",488763,"(+/- 10394 )"
People,"Place of Birth","Different state",251260,"(+/- 9712 )",173107,"(+/- 7396 )",171369,"(+/- 6783 )",180293,"(+/- 7911 )",229475,"(+/- 8450 )",187855,"(+/- 8031 )",175640,"(+/- 8673 )",153845,"(+/- 5852 )",240617,"(+/- 9252 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7607,"(+/- 2255 )",6472,"(+/- 1991 )",4274,"(+/- 1165 )",4598,"(+/- 1183 )",8495,"(+/- 2097 )",3855,"(+/- 1205 )",6779,"(+/- 1707 )",2586,"(+/- 887 )",6105,"(+/- 1602 )"
People,"Place of Birth","Foreign born",39397,"(+/- 3728 )",42570,"(+/- 3928 )",38121,"(+/- 2525 )",44802,"(+/- 3990 )",46405,"(+/- 4364 )",18785,"(+/- 2493 )",78787,"(+/- 5890 )",19320,"(+/- 2725 )",30411,"(+/- 3730 )"
People,Ancestry,"Total population",719122,"(+/- 2604 )",721469,"(+/- 4005 )",753051,"(+/- 2879 )",767105,"(+/- 4649 )",791257,"(+/- 9448 )",720190,"(+/- 3498 )",777205,"(+/- 8696 )",716924,"(+/- 2603 )",765896,"(+/- 4319 )"
People,Ancestry,American,19065,"(+/- 2933 )",47771,"(+/- 5134 )",54611,"(+/- 5787 )",90183,"(+/- 7435 )",52895,"(+/- 6056 )",73335,"(+/- 6379 )",43042,"(+/- 5912 )",62424,"(+/- 5409 )",77618,"(+/- 6504 )"
People,Ancestry,Arab,3981,"(+/- 2379 )",1875,"(+/- 976 )",2543,"(+/- 1739 )",2635,"(+/- 1356 )",3062,"(+/- 1269 )",731,"(+/- 624 )",1344,"(+/- 535 )",524,"(+/- 434 )",1363,"(+/- 707 )"
People,Ancestry,Czech,4382,"(+/- 1864 )",2724,"(+/- 1056 )",1342,"(+/- 673 )",843,"(+/- 406 )",1654,"(+/- 988 )",1168,"(+/- 693 )",1001,"(+/- 516 )",349,"(+/- 227 )",1395,"(+/- 738 )"
People,Ancestry,Danish,2239,"(+/- 1817 )",1128,"(+/- 682 )",1020,"(+/- 422 )",1143,"(+/- 696 )",1563,"(+/- 986 )",1091,"(+/- 972 )",1089,"(+/- 551 )",618,"(+/- 393 )",940,"(+/- 412 )"
People,Ancestry,Dutch,19317,"(+/- 3374 )",16540,"(+/- 3036 )",10268,"(+/- 2126 )",15237,"(+/- 2197 )",11729,"(+/- 2737 )",8416,"(+/- 2006 )",3957,"(+/- 1006 )",7990,"(+/- 1650 )",8334,"(+/- 1724 )"
People,Ancestry,English,41461,"(+/- 5428 )",45021,"(+/- 4459 )",62243,"(+/- 4736 )",61097,"(+/- 5057 )",86818,"(+/- 7220 )",67915,"(+/- 6486 )",39638,"(+/- 4307 )",71622,"(+/- 5598 )",81049,"(+/- 6220 )"
People,Ancestry,"French (except Basque)",14306,"(+/- 3543 )",14600,"(+/- 2683 )",18093,"(+/- 2372 )",13576,"(+/- 2483 )",13838,"(+/- 2231 )",11427,"(+/- 2428 )",9237,"(+/- 2803 )",16414,"(+/- 2486 )",13649,"(+/- 2149 )"
People,Ancestry,"French Canadian",2978,"(+/- 1240 )",2093,"(+/- 765 )",1553,"(+/- 722 )",1280,"(+/- 589 )",2311,"(+/- 819 )",630,"(+/- 364 )",1079,"(+/- 696 )",1470,"(+/- 756 )",1847,"(+/- 889 )"
People,Ancestry,German,121526,"(+/- 7221 )",146028,"(+/- 8253 )",206266,"(+/- 10576 )",127679,"(+/- 7231 )",158058,"(+/- 10129 )",150817,"(+/- 10341 )",79295,"(+/- 6498 )",176006,"(+/- 8024 )",142517,"(+/- 7556 )"
People,Ancestry,Greek,4561,"(+/- 1543 )",1919,"(+/- 737 )",2555,"(+/- 994 )",1510,"(+/- 1079 )",2709,"(+/- 1125 )",2030,"(+/- 1211 )",2289,"(+/- 1649 )",1536,"(+/- 671 )",1350,"(+/- 787 )"
People,Ancestry,Hungarian,8244,"(+/- 2258 )",10500,"(+/- 1879 )",3584,"(+/- 1494 )",1651,"(+/- 585 )",2720,"(+/- 1179 )",1503,"(+/- 908 )",1050,"(+/- 666 )",1770,"(+/- 814 )",2109,"(+/- 1275 )"
People,Ancestry,Irish,86621,"(+/- 6767 )",65705,"(+/- 4749 )",66233,"(+/- 4469 )",70133,"(+/- 6030 )",83544,"(+/- 7053 )",80717,"(+/- 6406 )",56348,"(+/- 6105 )",81491,"(+/- 6376 )",83781,"(+/- 6581 )"
People,Ancestry,Italian,30848,"(+/- 3141 )",22873,"(+/- 2965 )",15225,"(+/- 2245 )",16430,"(+/- 2686 )",21915,"(+/- 3166 )",15271,"(+/- 2604 )",14105,"(+/- 2406 )",13034,"(+/- 2270 )",20755,"(+/- 4611 )"
People,Ancestry,Lithuanian,3011,"(+/- 978 )",1264,"(+/- 603 )",1014,"(+/- 1075 )",556,"(+/- 397 )",1366,"(+/- 639 )",407,"(+/- 263 )",595,"(+/- 478 )",347,"(+/- 247 )",1164,"(+/- 635 )"
People,Ancestry,Norwegian,4656,"(+/- 1499 )",4693,"(+/- 1352 )",2880,"(+/- 719 )",3559,"(+/- 1355 )",7287,"(+/- 1940 )",3017,"(+/- 1316 )",2131,"(+/- 756 )",3027,"(+/- 1542 )",4909,"(+/- 1762 )"
People,Ancestry,Polish,73098,"(+/- 7325 )",39406,"(+/- 3714 )",14219,"(+/- 2894 )",15903,"(+/- 2285 )",16396,"(+/- 3392 )",8769,"(+/- 2103 )",11219,"(+/- 2071 )",9901,"(+/- 2652 )",14131,"(+/- 2834 )"
People,Ancestry,Portuguese,110,"(+/- 133 )",442,"(+/- 376 )",1309,"(+/- 978 )",328,"(+/- 313 )",1003,"(+/- 574 )",1034,"(+/- 888 )",490,"(+/- 541 )",455,"(+/- 306 )",1288,"(+/- 1235 )"
People,Ancestry,Russian,2958,"(+/- 1102 )",2821,"(+/- 931 )",1197,"(+/- 639 )",918,"(+/- 590 )",4177,"(+/- 1821 )",1665,"(+/- 815 )",780,"(+/- 434 )",783,"(+/- 422 )",2093,"(+/- 884 )"
People,Ancestry,Scotch-Irish,4722,"(+/- 1140 )",4273,"(+/- 1130 )",5510,"(+/- 1742 )",4999,"(+/- 1309 )",7712,"(+/- 1979 )",6283,"(+/- 1788 )",3855,"(+/- 954 )",6039,"(+/- 1345 )",9038,"(+/- 2054 )"
People,Ancestry,Scottish,9032,"(+/- 2599 )",9409,"(+/- 1838 )",9560,"(+/- 1390 )",13440,"(+/- 2027 )",18435,"(+/- 2724 )",13616,"(+/- 2646 )",11377,"(+/- 2495 )",11192,"(+/- 2189 )",21131,"(+/- 4075 )"
People,Ancestry,Slovak,11995,"(+/- 2778 )",1513,"(+/- 711 )",655,"(+/- 388 )",1014,"(+/- 427 )",1154,"(+/- 568 )",25,"(+/- 51 )",449,"(+/- 274 )",607,"(+/- 332 )",304,"(+/- 229 )"
People,Ancestry,"Subsaharan African",2988,"(+/- 1357 )",7956,"(+/- 2901 )",7287,"(+/- 2784 )",2329,"(+/- 808 )",5131,"(+/- 1992 )",1935,"(+/- 1589 )",28355,"(+/- 6235 )",3616,"(+/- 1405 )",1970,"(+/- 1156 )"
People,Ancestry,Swedish,10854,"(+/- 2622 )",7346,"(+/- 1630 )",5386,"(+/- 1439 )",7276,"(+/- 1499 )",6221,"(+/- 1510 )",3028,"(+/- 1211 )",2542,"(+/- 950 )",2262,"(+/- 695 )",4504,"(+/- 1675 )"
People,Ancestry,Swiss,902,"(+/- 676 )",6806,"(+/- 1760 )",13730,"(+/- 3063 )",3707,"(+/- 1392 )",3483,"(+/- 1319 )",2628,"(+/- 1128 )",1336,"(+/- 595 )",2678,"(+/- 1193 )",1815,"(+/- 759 )"
People,Ancestry,Ukrainian,2756,"(+/- 1827 )",1105,"(+/- 573 )",550,"(+/- 244 )",840,"(+/- 610 )",2056,"(+/- 951 )",247,"(+/- 204 )",566,"(+/- 368 )",246,"(+/- 188 )",676,"(+/- 505 )"
People,Ancestry,Welsh,2379,"(+/- 921 )",4391,"(+/- 2315 )",3717,"(+/- 1129 )",5528,"(+/- 1744 )",4991,"(+/- 1240 )",4833,"(+/- 1478 )",3102,"(+/- 972 )",5046,"(+/- 1192 )",6377,"(+/- 1396 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",577,"(+/- 400 )",1210,"(+/- 885 )",721,"(+/- 489 )",477,"(+/- 716 )",847,"(+/- 538 )",543,"(+/- 553 )",959,"(+/- 813 )",975,"(+/- 404 )",840,"(+/- 716 )"
People,"Veteran Status","Civilian population 18 years and over",555220,"(+/- 2149 )",546770,"(+/- 2955 )",561878,"(+/- 2600 )",594656,"(+/- 3495 )",601899,"(+/- 6935 )",562780,"(+/- 3229 )",578508,"(+/- 6338 )",556966,"(+/- 2614 )",601281,"(+/- 3931 )"
People,"Veteran Status","Civilian veterans",38207,"(+/- 2989 )",37960,"(+/- 2597 )",40007,"(+/- 2445 )",43383,"(+/- 3392 )",40152,"(+/- 3488 )",44297,"(+/- 2398 )",34321,"(+/- 2954 )",44433,"(+/- 2844 )",41834,"(+/- 2795 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",706919,"(+/- 3226 )",711107,"(+/- 4237 )",744847,"(+/- 2931 )",755865,"(+/- 4707 )",782079,"(+/- 9520 )",706532,"(+/- 3781 )",768784,"(+/- 8497 )",698904,"(+/- 3328 )",756492,"(+/- 4631 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",87667,"(+/- 4950 )",99664,"(+/- 4543 )",94408,"(+/- 4874 )",93907,"(+/- 4805 )",92732,"(+/- 6229 )",120683,"(+/- 5726 )",104525,"(+/- 6620 )",100174,"(+/- 4825 )",100975,"(+/- 5111 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163519,"(+/- 1738 )",173890,"(+/- 2452 )",190282,"(+/- 1752 )",171656,"(+/- 3036 )",188647,"(+/- 5471 )",156015,"(+/- 1863 )",197531,"(+/- 4588 )",158673,"(+/- 1825 )",163458,"(+/- 2883 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5443,"(+/- 1151 )",8603,"(+/- 1522 )",9068,"(+/- 1416 )",7316,"(+/- 1420 )",8907,"(+/- 2135 )",10408,"(+/- 2241 )",7982,"(+/- 1606 )",4795,"(+/- 1099 )",7665,"(+/- 1596 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",425136,"(+/- 3042 )",419822,"(+/- 3401 )",438670,"(+/- 2559 )",468097,"(+/- 3779 )",475444,"(+/- 6462 )",426374,"(+/- 3425 )",478401,"(+/- 6049 )",416820,"(+/- 3022 )",471416,"(+/- 4386 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45027,"(+/- 3629 )",50733,"(+/- 3599 )",50492,"(+/- 3475 )",47829,"(+/- 3393 )",43695,"(+/- 3758 )",65716,"(+/- 4076 )",60280,"(+/- 5341 )",51694,"(+/- 3417 )",51980,"(+/- 3811 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",118264,"(+/- 1361 )",117395,"(+/- 2130 )",115895,"(+/- 1308 )",116112,"(+/- 2383 )",117988,"(+/- 3000 )",124143,"(+/- 1953 )",92852,"(+/- 2621 )",123411,"(+/- 1886 )",121618,"(+/- 2269 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37197,"(+/- 2268 )",40328,"(+/- 2608 )",34848,"(+/- 2500 )",38762,"(+/- 2658 )",40130,"(+/- 3114 )",44559,"(+/- 2556 )",36263,"(+/- 2931 )",43685,"(+/- 2717 )",41330,"(+/- 2694 )"
People,"Residence 1 Year Ago","Population 1 year and over",711059,"(+/- 2954 )",712857,"(+/- 3702 )",744518,"(+/- 3150 )",758873,"(+/- 4595 )",783100,"(+/- 9452 )",711438,"(+/- 3810 )",766996,"(+/- 9223 )",708809,"(+/- 2879 )",759321,"(+/- 4419 )"
People,"Residence 1 Year Ago","Same house",616403,"(+/- 8500 )",628811,"(+/- 7994 )",642490,"(+/- 7526 )",636691,"(+/- 8330 )",688279,"(+/- 10872 )",599757,"(+/- 8619 )",665209,"(+/- 11005 )",607003,"(+/- 8762 )",651060,"(+/- 9609 )"
People,"Residence 1 Year Ago","Different house in the U.S.",91994,"(+/- 8608 )",80567,"(+/- 7409 )",97979,"(+/- 6606 )",118137,"(+/- 7450 )",93226,"(+/- 8381 )",109785,"(+/- 7087 )",97413,"(+/- 8188 )",99273,"(+/- 8326 )",106161,"(+/- 8854 )"
People,"Residence 1 Year Ago","Same county",47373,"(+/- 6018 )",46393,"(+/- 5673 )",60431,"(+/- 5784 )",58664,"(+/- 5781 )",49702,"(+/- 6321 )",60200,"(+/- 6170 )",64511,"(+/- 7741 )",56835,"(+/- 6652 )",52825,"(+/- 6160 )"
People,"Residence 1 Year Ago","Different county",44621,"(+/- 6843 )",34174,"(+/- 4346 )",37548,"(+/- 4578 )",59473,"(+/- 5891 )",43524,"(+/- 5211 )",49585,"(+/- 5856 )",32902,"(+/- 4045 )",42438,"(+/- 5212 )",53336,"(+/- 5929 )"
People,"Residence 1 Year Ago","Same state",18626,"(+/- 3661 )",19186,"(+/- 3323 )",25909,"(+/- 4155 )",40658,"(+/- 4671 )",25919,"(+/- 4347 )",36279,"(+/- 5089 )",16393,"(+/- 3106 )",28895,"(+/- 4406 )",34293,"(+/- 4864 )"
People,"Residence 1 Year Ago","Different state",25995,"(+/- 5553 )",14988,"(+/- 2411 )",11639,"(+/- 2443 )",18815,"(+/- 3369 )",17605,"(+/- 3683 )",13306,"(+/- 3837 )",16509,"(+/- 3380 )",13543,"(+/- 2647 )",19043,"(+/- 3410 )"
People,"Residence 1 Year Ago",Abroad,2662,"(+/- 1392 )",3479,"(+/- 1680 )",4049,"(+/- 1661 )",4045,"(+/- 1121 )",1595,"(+/- 1099 )",1896,"(+/- 825 )",4374,"(+/- 1909 )",2533,"(+/- 1320 )",2100,"(+/- 936 )"
Workers,"Employment Status","Population 16 years and over",574931,"(+/- 2616 )",567017,"(+/- 3446 )",583114,"(+/- 2796 )",614524,"(+/- 4267 )",626072,"(+/- 7173 )",583781,"(+/- 3228 )",598567,"(+/- 6604 )",577001,"(+/- 2951 )",621445,"(+/- 3998 )"
Workers,"Employment Status","In labor force",350583,"(+/- 6038 )",354036,"(+/- 6252 )",386608,"(+/- 5420 )",394778,"(+/- 5867 )",424904,"(+/- 6739 )",360775,"(+/- 5968 )",390495,"(+/- 9692 )",360377,"(+/- 5760 )",397095,"(+/- 7034 )"
Workers,"Employment Status","Civilian labor force",350407,"(+/- 6061 )",353791,"(+/- 6256 )",386001,"(+/- 5496 )",394624,"(+/- 5899 )",424399,"(+/- 6708 )",359830,"(+/- 6031 )",390050,"(+/- 9648 )",359552,"(+/- 5848 )",396157,"(+/- 7139 )"
Workers,"Employment Status",Employed,331606,"(+/- 5976 )",341040,"(+/- 5988 )",372618,"(+/- 5709 )",381449,"(+/- 6315 )",409413,"(+/- 6747 )",345948,"(+/- 6214 )",365524,"(+/- 9774 )",342185,"(+/- 5637 )",382944,"(+/- 7397 )"
Workers,"Employment Status",Unemployed,18801,"(+/- 2575 )",12751,"(+/- 1775 )",13383,"(+/- 1641 )",13175,"(+/- 2057 )",14986,"(+/- 2475 )",13882,"(+/- 1992 )",24526,"(+/- 3229 )",17367,"(+/- 2285 )",13213,"(+/- 1755 )"
Workers,"Employment Status","Armed Forces",176,"(+/- 199 )",245,"(+/- 201 )",607,"(+/- 358 )",154,"(+/- 157 )",505,"(+/- 455 )",945,"(+/- 644 )",445,"(+/- 429 )",825,"(+/- 445 )",938,"(+/- 675 )"
Workers,"Employment Status","Not in labor force",224348,"(+/- 6008 )",212981,"(+/- 6370 )",196506,"(+/- 5098 )",219746,"(+/- 6317 )",201168,"(+/- 6435 )",223006,"(+/- 5454 )",208072,"(+/- 8419 )",216624,"(+/- 6098 )",224350,"(+/- 5777 )"
